model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
ccd1	300	0.850000	0.900000	994	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.900000	0.950000	1041	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.950000	1.000000	1027	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	1000	0.000000	0.050000	4416	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.050000	0.100000	4445	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.100000	0.150000	4384	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.150000	0.200000	4352	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.200000	0.250000	4386	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.250000	0.300000	4458	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.300000	0.350000	4311	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.350000	0.400000	4231	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.400000	0.450000	4318	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.450000	0.500000	4381	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.500000	0.550000	4230	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.550000	0.600000	4298	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.600000	0.650000	4267	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.650000	0.700000	4239	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.700000	0.750000	4207	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.750000	0.800000	4056	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.800000	0.850000	4188	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.850000	0.900000	4128	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.900000	0.950000	4234	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	1000	0.950000	1.000000	4163	4284.600000	52.928348	4.79886e-05	0.010004	7.06394e-08	0.021075	85692	14308
ccd1	3000	0.000000	0.050000	14272	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.050000	0.100000	14149	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.100000	0.150000	14092	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.150000	0.200000	14162	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.200000	0.250000	14339	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.250000	0.300000	14125	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.300000	0.350000	14053	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.350000	0.400000	13929	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.400000	0.450000	13896	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.450000	0.500000	13981	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.500000	0.550000	13772	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.550000	0.600000	13784	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.600000	0.650000	14017	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.650000	0.700000	13652	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.700000	0.750000	13580	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.750000	0.800000	13447	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.800000	0.850000	13551	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.850000	0.900000	13741	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.900000	0.950000	13639	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd1	3000	0.950000	1.000000	13093	13863.700000	132.201808	0.00000	0.008934	8.38218e-14	0.018136	277274	22726
ccd0	300	0.000000	0.050000	437	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.050000	0.100000	468	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.100000	0.150000	545	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.150000	0.200000	586	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.200000	0.250000	629	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.250000	0.300000	634	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.300000	0.350000	737	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.350000	0.400000	718	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.400000	0.450000	754	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.450000	0.500000	855	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.500000	0.550000	891	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.550000	0.600000	992	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.600000	0.650000	1006	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.650000	0.700000	1118	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.700000	0.750000	1225	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.750000	0.800000	1456	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.800000	0.850000	1636	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.850000	0.900000	2060	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.900000	0.950000	2609	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	300	0.950000	1.000000	7271	1331.350000	32306.510347	0.00000	0.315147	1.40334e-10	0.629080	26627	3373
ccd0	1000	0.000000	0.050000	1531	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.050000	0.100000	1770	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.100000	0.150000	1920	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.150000	0.200000	2023	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.200000	0.250000	2129	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.250000	0.300000	2226	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.300000	0.350000	2410	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.350000	0.400000	2647	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.400000	0.450000	2736	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.450000	0.500000	2795	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.500000	0.550000	3102	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.550000	0.600000	3367	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.600000	0.650000	3559	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.650000	0.700000	3997	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.700000	0.750000	4372	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.750000	0.800000	4752	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.800000	0.850000	5673	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.850000	0.900000	6882	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.900000	0.950000	9240	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	1000	0.950000	1.000000	28395	4776.300000	137573.237066	0.00000	0.326781	4.04231e-10	0.650813	95526	4474
ccd0	3000	0.000000	0.050000	4714	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.050000	0.100000	5258	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.100000	0.150000	5942	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.150000	0.200000	6169	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.200000	0.250000	6448	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.250000	0.300000	6935	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.300000	0.350000	7262	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.350000	0.400000	7864	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
ccd0	3000	0.400000	0.450000	8233	14728.500000	460722.537597	0.00000	0.334492	8.08072e-10	0.667984	294570	5430
